/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run TRPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — TRPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Target KL   : 0.01
 Seed        : 1
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-45.06
  Ep   20 | SR=0% | Steps=15.0 | R=-43.26
  Ep   30 | SR=0% | Steps=15.0 | R=-45.28
  Ep   40 | SR=0% | Steps=15.0 | R=-43.93
  Ep   50 | SR=0% | Steps=15.0 | R=-44.90
  Ep   60 | SR=0% | Steps=15.0 | R=-44.76
  Ep   70 | SR=0% | Steps=15.0 | R=-44.72
  Ep   80 | SR=0% | Steps=15.0 | R=-41.91
  Ep   90 | SR=0% | Steps=15.0 | R=-45.80
  Ep  100 | SR=0% | Steps=15.0 | R=-45.05
  Ep  110 | SR=0% | Steps=15.0 | R=-44.84
  Ep  120 | SR=0% | Steps=15.0 | R=-45.32
  Ep  130 | SR=0% | Steps=15.0 | R=-44.20
  Ep  140 | SR=0% | Steps=15.0 | R=-43.99
  Ep  150 | SR=0% | Steps=15.0 | R=-46.99
  Ep  160 | SR=0% | Steps=15.0 | R=-45.17
  Ep  170 | SR=0% | Steps=15.0 | R=-44.86
  Ep  180 | SR=0% | Steps=15.0 | R=-45.22
  Ep  190 | SR=0% | Steps=15.0 | R=-45.21
  Ep  200 | SR=0% | Steps=15.0 | R=-43.73
  Ep  210 | SR=0% | Steps=15.0 | R=-44.61
  Ep  220 | SR=0% | Steps=15.0 | R=-44.81
  Ep  230 | SR=0% | Steps=15.0 | R=-41.97
  Ep  240 | SR=0% | Steps=15.0 | R=-45.23
  Ep  250 | SR=0% | Steps=15.0 | R=-45.02
  Ep  260 | SR=0% | Steps=15.0 | R=-42.19
  Ep  270 | SR=0% | Steps=15.0 | R=-42.36
  Ep  280 | SR=0% | Steps=15.0 | R=-43.77
  Ep  290 | SR=0% | Steps=15.0 | R=-44.71
  Ep  300 | SR=0% | Steps=15.0 | R=-41.38
  Ep  310 | SR=0% | Steps=15.0 | R=-41.41
  Ep  320 | SR=0% | Steps=15.0 | R=-45.91
  Ep  330 | SR=0% | Steps=15.0 | R=-44.71
  Ep  340 | SR=0% | Steps=15.0 | R=-45.84
  Ep  350 | SR=0% | Steps=15.0 | R=-44.89
  Ep  360 | SR=0% | Steps=15.0 | R=-43.94
  Ep  370 | SR=0% | Steps=15.0 | R=-41.63
  Ep  380 | SR=0% | Steps=15.0 | R=-41.48
  Ep  390 | SR=0% | Steps=15.0 | R=-45.26
  Ep  400 | SR=0% | Steps=15.0 | R=-44.36
  Ep  410 | SR=0% | Steps=15.0 | R=-42.70
  Ep  420 | SR=0% | Steps=15.0 | R=-44.69
  Ep  430 | SR=0% | Steps=15.0 | R=-43.21
  Ep  440 | SR=0% | Steps=15.0 | R=-42.02
  Ep  450 | SR=0% | Steps=15.0 | R=-43.36
  Ep  460 | SR=0% | Steps=15.0 | R=-45.10
  Ep  470 | SR=0% | Steps=15.0 | R=-41.96
  Ep  480 | SR=0% | Steps=15.0 | R=-43.12
  Ep  490 | SR=0% | Steps=15.0 | R=-42.36
  Ep  500 | SR=0% | Steps=15.0 | R=-43.04
  Ep  510 | SR=0% | Steps=15.0 | R=-43.57
  Ep  520 | SR=0% | Steps=15.0 | R=-43.37
  Ep  530 | SR=0% | Steps=15.0 | R=-38.27
  Ep  540 | SR=0% | Steps=15.0 | R=-42.75
  Ep  550 | SR=0% | Steps=15.0 | R=-40.66
  Ep  560 | SR=0% | Steps=15.0 | R=-39.17
  Ep  570 | SR=0% | Steps=15.0 | R=-44.41
  Ep  580 | SR=0% | Steps=15.0 | R=-36.60
  Ep  590 | SR=0% | Steps=15.0 | R=-34.31
  Ep  600 | SR=0% | Steps=15.0 | R=-42.70
  Ep  610 | SR=0% | Steps=15.0 | R=-39.43
  Ep  620 | SR=0% | Steps=15.0 | R=-36.70
  Ep  630 | SR=0% | Steps=15.0 | R=-37.29
  Ep  640 | SR=0% | Steps=15.0 | R=-37.64
  Ep  650 | SR=0% | Steps=15.0 | R=-36.78
  Ep  660 | SR=0% | Steps=15.0 | R=-36.12
  Ep  670 | SR=0% | Steps=15.0 | R=-37.18
  Ep  680 | SR=0% | Steps=15.0 | R=-35.74
  Ep  690 | SR=0% | Steps=15.0 | R=-36.06
  Ep  700 | SR=0% | Steps=15.0 | R=-33.27
  Ep  710 | SR=0% | Steps=15.0 | R=-33.12
  Ep  720 | SR=0% | Steps=15.0 | R=-34.78
  Ep  730 | SR=0% | Steps=15.0 | R=-29.74
  Ep  740 | SR=0% | Steps=15.0 | R=-35.87
  Ep  750 | SR=0% | Steps=15.0 | R=-33.51
  Ep  760 | SR=0% | Steps=15.0 | R=-32.53
  Ep  770 | SR=0% | Steps=15.0 | R=-35.96
  Ep  780 | SR=0% | Steps=15.0 | R=-31.64
  Ep  790 | SR=0% | Steps=15.0 | R=-34.91
  Ep  800 | SR=0% | Steps=15.0 | R=-30.99
  Ep  810 | SR=0% | Steps=15.0 | R=-29.96
  Ep  820 | SR=0% | Steps=15.0 | R=-35.65
  Ep  830 | SR=0% | Steps=15.0 | R=-27.62
  Ep  840 | SR=0% | Steps=15.0 | R=-29.58
  Ep  850 | SR=0% | Steps=15.0 | R=-35.98
  Ep  860 | SR=0% | Steps=15.0 | R=-28.61
  Ep  870 | SR=0% | Steps=15.0 | R=-32.17
  Ep  880 | SR=0% | Steps=15.0 | R=-34.55
  Ep  890 | SR=0% | Steps=15.0 | R=-30.99
  Ep  900 | SR=0% | Steps=15.0 | R=-33.28
  Ep  910 | SR=0% | Steps=15.0 | R=-29.54
  Ep  920 | SR=0% | Steps=15.0 | R=-27.00
  Ep  930 | SR=0% | Steps=15.0 | R=-26.66
