/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run A2C on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — A2C Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Rollout     : n_steps=5 (synchronous A3C variant)
 Seed        : 1
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-44.19
  Ep   20 | SR=0% | Steps=15.0 | R=-44.17
  Ep   30 | SR=0% | Steps=15.0 | R=-46.66
  Ep   40 | SR=0% | Steps=15.0 | R=-44.66
  Ep   50 | SR=0% | Steps=15.0 | R=-45.35
  Ep   60 | SR=0% | Steps=15.0 | R=-44.67
  Ep   70 | SR=0% | Steps=15.0 | R=-43.48
  Ep   80 | SR=0% | Steps=15.0 | R=-45.08
  Ep   90 | SR=0% | Steps=15.0 | R=-44.66
  Ep  100 | SR=0% | Steps=15.0 | R=-45.50
  Ep  110 | SR=0% | Steps=15.0 | R=-43.93
  Ep  120 | SR=0% | Steps=15.0 | R=-45.15
  Ep  130 | SR=0% | Steps=15.0 | R=-42.98
  Ep  140 | SR=0% | Steps=15.0 | R=-43.82
  Ep  150 | SR=0% | Steps=15.0 | R=-45.56
  Ep  160 | SR=0% | Steps=15.0 | R=-45.35
  Ep  170 | SR=0% | Steps=15.0 | R=-43.93
  Ep  180 | SR=0% | Steps=15.0 | R=-45.01
  Ep  190 | SR=0% | Steps=15.0 | R=-45.15
  Ep  200 | SR=0% | Steps=15.0 | R=-45.95
  Ep  210 | SR=0% | Steps=15.0 | R=-42.97
  Ep  220 | SR=0% | Steps=15.0 | R=-45.74
  Ep  230 | SR=0% | Steps=15.0 | R=-42.43
  Ep  240 | SR=0% | Steps=15.0 | R=-41.52
  Ep  250 | SR=0% | Steps=15.0 | R=-44.94
  Ep  260 | SR=0% | Steps=15.0 | R=-45.76
  Ep  270 | SR=0% | Steps=15.0 | R=-43.13
  Ep  280 | SR=0% | Steps=15.0 | R=-41.93
  Ep  290 | SR=0% | Steps=15.0 | R=-43.28
  Ep  300 | SR=0% | Steps=15.0 | R=-45.35
  Ep  310 | SR=0% | Steps=15.0 | R=-45.06
  Ep  320 | SR=0% | Steps=15.0 | R=-45.40
  Ep  330 | SR=0% | Steps=15.0 | R=-43.37
