/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run A2C on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — A2C Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Rollout     : n_steps=5 (synchronous A3C variant)
 Seed        : 2
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-45.66
  Ep   20 | SR=0% | Steps=15.0 | R=-45.24
  Ep   30 | SR=0% | Steps=15.0 | R=-44.24
  Ep   40 | SR=0% | Steps=15.0 | R=-44.95
  Ep   50 | SR=0% | Steps=15.0 | R=-44.00
  Ep   60 | SR=0% | Steps=15.0 | R=-42.59
  Ep   70 | SR=0% | Steps=15.0 | R=-43.93
  Ep   80 | SR=0% | Steps=15.0 | R=-45.23
  Ep   90 | SR=0% | Steps=15.0 | R=-44.83
  Ep  100 | SR=0% | Steps=15.0 | R=-46.11
  Ep  110 | SR=0% | Steps=15.0 | R=-42.66
  Ep  120 | SR=0% | Steps=15.0 | R=-43.77
  Ep  130 | SR=0% | Steps=15.0 | R=-42.70
  Ep  140 | SR=0% | Steps=15.0 | R=-44.34
  Ep  150 | SR=0% | Steps=15.0 | R=-41.95
  Ep  160 | SR=0% | Steps=15.0 | R=-45.42
  Ep  170 | SR=0% | Steps=15.0 | R=-43.30
  Ep  180 | SR=0% | Steps=15.0 | R=-42.67
  Ep  190 | SR=0% | Steps=15.0 | R=-44.75
  Ep  200 | SR=0% | Steps=15.0 | R=-43.56
  Ep  210 | SR=0% | Steps=15.0 | R=-42.95
  Ep  220 | SR=0% | Steps=15.0 | R=-39.86
  Ep  230 | SR=0% | Steps=15.0 | R=-42.99
  Ep  240 | SR=0% | Steps=15.0 | R=-42.20
  Ep  250 | SR=0% | Steps=15.0 | R=-43.48
  Ep  260 | SR=0% | Steps=15.0 | R=-44.41
  Ep  270 | SR=0% | Steps=15.0 | R=-43.72
  Ep  280 | SR=0% | Steps=15.0 | R=-40.28
  Ep  290 | SR=0% | Steps=15.0 | R=-35.78
  Ep  300 | SR=0% | Steps=15.0 | R=-38.64
  Ep  310 | SR=0% | Steps=15.0 | R=-39.15
  Ep  320 | SR=0% | Steps=15.0 | R=-38.97
  Ep  330 | SR=0% | Steps=15.0 | R=-39.82
  Ep  340 | SR=0% | Steps=15.0 | R=-38.70
  Ep  350 | SR=0% | Steps=15.0 | R=-39.91
  Ep  360 | SR=0% | Steps=15.0 | R=-34.89
  Ep  370 | SR=0% | Steps=15.0 | R=-39.23
  Ep  380 | SR=0% | Steps=15.0 | R=-35.26
  Ep  390 | SR=0% | Steps=15.0 | R=-37.03
  Ep  400 | SR=0% | Steps=15.0 | R=-37.28
  Ep  410 | SR=0% | Steps=15.0 | R=-36.85
  Ep  420 | SR=0% | Steps=15.0 | R=-37.13
  Ep  430 | SR=0% | Steps=15.0 | R=-32.29
  Ep  440 | SR=0% | Steps=15.0 | R=-31.70
  Ep  450 | SR=0% | Steps=15.0 | R=-33.68
  Ep  460 | SR=0% | Steps=15.0 | R=-32.89
  Ep  470 | SR=0% | Steps=15.0 | R=-30.75
  Ep  480 | SR=0% | Steps=15.0 | R=-31.36
  Ep  490 | SR=0% | Steps=15.0 | R=-31.48
  Ep  500 | SR=0% | Steps=15.0 | R=-34.38
  Ep  510 | SR=0% | Steps=15.0 | R=-33.16
  Ep  520 | SR=0% | Steps=15.0 | R=-31.39
  Ep  530 | SR=0% | Steps=15.0 | R=-33.97
  Ep  540 | SR=0% | Steps=15.0 | R=-31.23
  Ep  550 | SR=0% | Steps=15.0 | R=-31.94
  Ep  560 | SR=0% | Steps=15.0 | R=-29.83
  Ep  570 | SR=0% | Steps=15.0 | R=-33.43
  Ep  580 | SR=0% | Steps=15.0 | R=-27.95
  Ep  590 | SR=0% | Steps=15.0 | R=-29.00
  Ep  600 | SR=0% | Steps=15.0 | R=-29.64
  Ep  610 | SR=0% | Steps=15.0 | R=-30.07
  Ep  620 | SR=0% | Steps=15.0 | R=-30.19
  Ep  630 | SR=0% | Steps=15.0 | R=-33.08
  Ep  640 | SR=0% | Steps=15.0 | R=-31.30
  Ep  650 | SR=0% | Steps=15.0 | R=-25.67
  Ep  660 | SR=0% | Steps=15.0 | R=-30.29
  Ep  670 | SR=0% | Steps=15.0 | R=-31.40
  Ep  680 | SR=0% | Steps=15.0 | R=-29.36
  Ep  690 | SR=0% | Steps=15.0 | R=-30.40
  Ep  700 | SR=0% | Steps=15.0 | R=-29.87
  Ep  710 | SR=0% | Steps=15.0 | R=-27.64
  Ep  720 | SR=0% | Steps=15.0 | R=-26.11
  Ep  730 | SR=0% | Steps=15.0 | R=-30.24
  Ep  740 | SR=0% | Steps=15.0 | R=-26.05
  Ep  750 | SR=0% | Steps=15.0 | R=-29.39
  Ep  760 | SR=0% | Steps=15.0 | R=-31.22
  Ep  770 | SR=0% | Steps=15.0 | R=-25.68
  Ep  780 | SR=0% | Steps=15.0 | R=-31.78
  Ep  790 | SR=0% | Steps=15.0 | R=-27.22
  Ep  800 | SR=0% | Steps=15.0 | R=-30.96
  Ep  810 | SR=0% | Steps=15.0 | R=-28.47
  Ep  820 | SR=0% | Steps=15.0 | R=-27.31
  Ep  830 | SR=0% | Steps=15.0 | R=-24.21
  Ep  840 | SR=0% | Steps=15.0 | R=-27.33
  Ep  850 | SR=0% | Steps=15.0 | R=-34.48
  Ep  860 | SR=0% | Steps=15.0 | R=-27.51
  Ep  870 | SR=0% | Steps=15.0 | R=-30.52
  Ep  880 | SR=0% | Steps=15.0 | R=-27.60
  Ep  890 | SR=0% | Steps=15.0 | R=-31.12
  Ep  900 | SR=0% | Steps=15.0 | R=-27.66
  Ep  910 | SR=0% | Steps=15.0 | R=-29.78
  Ep  920 | SR=0% | Steps=15.0 | R=-27.19
  Ep  930 | SR=0% | Steps=15.0 | R=-23.48
  Ep  940 | SR=0% | Steps=15.0 | R=-29.33
  Ep  950 | SR=0% | Steps=15.0 | R=-28.48
  Ep  960 | SR=0% | Steps=15.0 | R=-25.96
  Ep  970 | SR=0% | Steps=15.0 | R=-26.41
  Ep  980 | SR=0% | Steps=15.0 | R=-29.09
  Ep  990 | SR=0% | Steps=15.0 | R=-28.45
  Ep 1000 | SR=0% | Steps=15.0 | R=-24.75
  Ep 1010 | SR=0% | Steps=15.0 | R=-25.52
  Ep 1020 | SR=0% | Steps=15.0 | R=-25.18
  Ep 1030 | SR=0% | Steps=15.0 | R=-24.55
  Ep 1040 | SR=0% | Steps=15.0 | R=-16.09
  Ep 1050 | SR=0% | Steps=15.0 | R=-9.21
  Ep 1060 | SR=0% | Steps=15.0 | R=-18.59
  Ep 1070 | SR=0% | Steps=15.0 | R=-15.42
  Ep 1080 | SR=0% | Steps=15.0 | R=-21.09
  Ep 1090 | SR=0% | Steps=15.0 | R=-14.53
  Ep 1100 | SR=0% | Steps=15.0 | R=-12.41
  Ep 1110 | SR=0% | Steps=15.0 | R=-21.14
  Ep 1120 | SR=0% | Steps=15.0 | R=-22.65
  Ep 1130 | SR=0% | Steps=15.0 | R=-26.29
  Ep 1140 | SR=0% | Steps=15.0 | R=-21.51
  Ep 1150 | SR=0% | Steps=15.0 | R=-0.88
  Ep 1160 | SR=0% | Steps=15.0 | R=-12.76
  Ep 1170 | SR=0% | Steps=15.0 | R=-19.53
  Ep 1180 | SR=0% | Steps=15.0 | R=-20.05
  Ep 1190 | SR=0% | Steps=15.0 | R=-14.37
  Ep 1200 | SR=0% | Steps=15.0 | R=-4.21
  Ep 1210 | SR=0% | Steps=15.0 | R=-14.71
  Ep 1220 | SR=0% | Steps=15.0 | R=-10.05
  Ep 1230 | SR=0% | Steps=15.0 | R=-17.15
  Ep 1240 | SR=0% | Steps=15.0 | R=-15.81
  Ep 1250 | SR=0% | Steps=15.0 | R=-5.82
  Ep 1260 | SR=0% | Steps=15.0 | R=-18.77
  Ep 1270 | SR=0% | Steps=15.0 | R=-7.88
  Ep 1280 | SR=0% | Steps=15.0 | R=-4.72
  Ep 1290 | SR=0% | Steps=15.0 | R=-23.12
  Ep 1300 | SR=0% | Steps=15.0 | R=-13.27
  Ep 1310 | SR=0% | Steps=15.0 | R=-8.38
  Ep 1320 | SR=0% | Steps=15.0 | R=-29.55
  Ep 1330 | SR=0% | Steps=15.0 | R=-5.29
  Ep 1340 | SR=0% | Steps=15.0 | R=-18.46
  Ep 1350 | SR=0% | Steps=15.0 | R=-20.65
  Ep 1360 | SR=0% | Steps=15.0 | R=-18.04
  Ep 1370 | SR=0% | Steps=15.0 | R=-20.91
  Ep 1380 | SR=0% | Steps=15.0 | R=-14.18
  Ep 1390 | SR=0% | Steps=15.0 | R=-16.48
  Ep 1400 | SR=0% | Steps=15.0 | R=-19.80
  Ep 1410 | SR=0% | Steps=15.0 | R=-24.19
  Ep 1420 | SR=0% | Steps=15.0 | R=-22.75
  Ep 1430 | SR=0% | Steps=15.0 | R=-7.88
  Ep 1440 | SR=0% | Steps=15.0 | R=-24.64
  Ep 1450 | SR=0% | Steps=15.0 | R=-10.21
  Ep 1460 | SR=0% | Steps=15.0 | R=-20.27
  Ep 1470 | SR=0% | Steps=15.0 | R=-0.82
  Ep 1480 | SR=0% | Steps=15.0 | R=-9.01
  Ep 1490 | SR=0% | Steps=15.0 | R=-18.66
  Ep 1500 | SR=0% | Steps=15.0 | R=-10.09
  Ep 1510 | SR=0% | Steps=15.0 | R=-5.30
  Ep 1520 | SR=0% | Steps=15.0 | R=-27.27
