/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — PPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Seed        : 3
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-45.03
  Ep   20 | SR=0% | Steps=15.0 | R=-42.85
  Ep   30 | SR=0% | Steps=15.0 | R=-46.71
  Ep   40 | SR=0% | Steps=15.0 | R=-45.00
  Ep   50 | SR=0% | Steps=15.0 | R=-43.84
  Ep   60 | SR=0% | Steps=15.0 | R=-46.09
  Ep   70 | SR=0% | Steps=15.0 | R=-44.63
  Ep   80 | SR=0% | Steps=15.0 | R=-43.77
  Ep   90 | SR=0% | Steps=15.0 | R=-45.59
  Ep  100 | SR=0% | Steps=15.0 | R=-44.75
  Ep  110 | SR=0% | Steps=15.0 | R=-44.42
  Ep  120 | SR=0% | Steps=15.0 | R=-46.11
  Ep  130 | SR=0% | Steps=15.0 | R=-44.72
  Ep  140 | SR=0% | Steps=15.0 | R=-46.71
  Ep  150 | SR=0% | Steps=15.0 | R=-43.05
  Ep  160 | SR=0% | Steps=15.0 | R=-45.01
  Ep  170 | SR=0% | Steps=15.0 | R=-46.20
  Ep  180 | SR=0% | Steps=15.0 | R=-42.87
  Ep  190 | SR=0% | Steps=15.0 | R=-43.59
  Ep  200 | SR=0% | Steps=15.0 | R=-43.59
  Ep  210 | SR=0% | Steps=15.0 | R=-44.46
  Ep  220 | SR=0% | Steps=15.0 | R=-43.87
  Ep  230 | SR=0% | Steps=15.0 | R=-46.02
  Ep  240 | SR=0% | Steps=15.0 | R=-45.91
  Ep  250 | SR=0% | Steps=15.0 | R=-43.80
  Ep  260 | SR=0% | Steps=15.0 | R=-45.92
  Ep  270 | SR=0% | Steps=15.0 | R=-44.37
  Ep  280 | SR=0% | Steps=15.0 | R=-42.46
  Ep  290 | SR=0% | Steps=15.0 | R=-46.89
  Ep  300 | SR=0% | Steps=15.0 | R=-42.33
  Ep  310 | SR=0% | Steps=15.0 | R=-43.06
  Ep  320 | SR=0% | Steps=15.0 | R=-44.99
  Ep  330 | SR=0% | Steps=15.0 | R=-45.99
