/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run TRPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — TRPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Target KL   : 0.01
 Seed        : 2
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-45.26
  Ep   20 | SR=0% | Steps=15.0 | R=-45.12
  Ep   30 | SR=0% | Steps=15.0 | R=-46.10
  Ep   40 | SR=0% | Steps=15.0 | R=-44.16
  Ep   50 | SR=0% | Steps=15.0 | R=-45.04
  Ep   60 | SR=0% | Steps=15.0 | R=-45.67
  Ep   70 | SR=0% | Steps=15.0 | R=-44.41
  Ep   80 | SR=0% | Steps=15.0 | R=-44.68
  Ep   90 | SR=0% | Steps=15.0 | R=-43.89
  Ep  100 | SR=0% | Steps=15.0 | R=-45.41
  Ep  110 | SR=0% | Steps=15.0 | R=-41.92
  Ep  120 | SR=0% | Steps=15.0 | R=-42.52
  Ep  130 | SR=0% | Steps=15.0 | R=-43.25
  Ep  140 | SR=0% | Steps=15.0 | R=-44.70
  Ep  150 | SR=0% | Steps=15.0 | R=-45.10
  Ep  160 | SR=0% | Steps=15.0 | R=-44.18
  Ep  170 | SR=0% | Steps=15.0 | R=-44.31
  Ep  180 | SR=0% | Steps=15.0 | R=-44.48
  Ep  190 | SR=0% | Steps=15.0 | R=-43.69
  Ep  200 | SR=0% | Steps=15.0 | R=-45.00
  Ep  210 | SR=0% | Steps=15.0 | R=-42.85
  Ep  220 | SR=0% | Steps=15.0 | R=-42.44
  Ep  230 | SR=0% | Steps=15.0 | R=-45.09
  Ep  240 | SR=0% | Steps=15.0 | R=-42.79
  Ep  250 | SR=0% | Steps=15.0 | R=-45.80
  Ep  260 | SR=0% | Steps=15.0 | R=-45.06
  Ep  270 | SR=0% | Steps=15.0 | R=-44.09
  Ep  280 | SR=0% | Steps=15.0 | R=-43.09
  Ep  290 | SR=0% | Steps=15.0 | R=-43.63
  Ep  300 | SR=0% | Steps=15.0 | R=-43.34
  Ep  310 | SR=0% | Steps=15.0 | R=-42.38
  Ep  320 | SR=0% | Steps=15.0 | R=-44.18
  Ep  330 | SR=0% | Steps=15.0 | R=-44.14
  Ep  340 | SR=0% | Steps=15.0 | R=-44.16
  Ep  350 | SR=0% | Steps=15.0 | R=-42.88
  Ep  360 | SR=0% | Steps=15.0 | R=-40.74
